latitude	longitude	store_name	code	location	imei
16.06213	76.0586	Hungund	IN	Asia/Kolkata	863033069630348933
10.29085	105.75635	Sa Dec	VN	Asia/Ho_Chi_Minh	3590433799317662337
34.9	137.5	Shinshiro	JP	Asia/Tokyo	3590433799317662196
18.03496	-66.8499	Yauco	PR	America/Puerto_Rico	359043379931766221
51.24197	4.82313	Lille	BE	Europe/Brussels	863033069630348479
35.89972	14.51472	Valletta	MT	Europe/Malta	863033069630348651
43.61058	1.33467	Colomiers	FR	Europe/Paris	3590433799317661115
34.63915	-120.45794	Lompoc	US	America/Los_Angeles	863033069630348834
41.55815	-73.0515	Waterbury	US	America/New_York	3590433799317662204
-2.90055	-79.00453	Cuenca	EC	America/Guayaquil	863033069630348263
-8.66667	-35.71667	Catende	BR	America/Recife	359043379931766916
-10.91111	-37.07167	Aracaju	BR	America/Maceio	3590433799317661404
10.12268	77.54372	Periyakulam	IN	Asia/Kolkata	863033069630348446
9.3337	122.8637	Santa Catalina	PH	Asia/Manila	8630330696303481271
50.511002	14.150558	Terezín	CZ	Europe/Prague	8630330696303482428
-1.63333	13.58357	Franceville	GA	Africa/Libreville	8630330696303482469
28.90054	-81.26367	Deltona	US	America/New_York	863033069630348735
60.2052	24.6522	Espoo	FI	Europe/Helsinki	3590433799317661495
34.81667	137.4	Toyokawa	JP	Asia/Tokyo	3590433799317661479
43.61058	1.33467	Colomiers	FR	Europe/Paris	863033069630348214
3.11988	35.59642	Lodwar	KE	Africa/Nairobi	3590433799317661271
59.80917	30.38167	Shushary	RU	Europe/Moscow	8630330696303482410
15.46063	99.89166	Thap Than	TH	Asia/Bangkok	359043379931766502
23.9028	89.11943	Kushtia	BD	Asia/Dhaka	3590433799317661172
30.16688	-96.39774	Brenham	US	America/Chicago	359043379931766742
-37.88333	145.06667	Carnegie	AU	Australia/Melbourne	8630330696303482386
41.91738	3.1631	Palafrugell	ES	Europe/Madrid	359043379931766544
13.65805	102.56365	Paoy Paet	KH	Asia/Phnom_Penh	8630330696303481255
37.31065	13.57661	Agrigento	IT	Europe/Rome	8630330696303481545
7.50251	5.06258	Igbara-Odo	NG	Africa/Lagos	863033069630348412
39.72943	-104.83192	Aurora	US	America/Denver	8630330696303481347
36.92574	14.72443	Ragusa	IT	Europe/Rome	3590433799317661875
52.31333	6.92917	Oldenzaal	NL	Europe/Amsterdam	359043379931766635
53.83333	-2.98333	Poulton-le-Fylde	GB	Europe/London	359043379931766270
53.38333	-0.76667	Gainsborough	GB	Europe/London	3590433799317662097
42.52787	-70.92866	Peabody	US	America/New_York	863033069630348552
45.44694	8.62118	Novara	IT	Europe/Rome	3590433799317662469
23.15678	-81.24441	Varadero	CU	America/Havana	8630330696303482063
33.43443	-5.22126	Azrou	MA	Africa/Casablanca	863033069630348131
40.37528	28.88222	Mudanya	TR	Europe/Istanbul	3590433799317662485
-4.24444	-42.29444	Barras	BR	America/Fortaleza	8630330696303482089
4.02219	101.02083	Teluk Intan	MY	Asia/Kuala_Lumpur	863033069630348297
43.91452	-69.96533	Brunswick	US	America/New_York	3590433799317662451
-34.64167	-60.47389	Chacabuco	AR	America/Argentina/Buenos_Aires	863033069630348032
48.812737	14.317466	Český Krumlov	CZ	Europe/Prague	359043379931766999
39.08367	-84.50855	Covington	US	America/New_York	359043379931766304
37.74615	-25.66689	Ponta Delgada	PT	Atlantic/Azores	8630330696303481842
48.25	16.4	Floridsdorf	AT	Europe/Vienna	359043379931766528
35.30889	139.55028	Kamakura	JP	Asia/Tokyo	8630330696303481008
15.46063	99.89166	Thap Than	TH	Asia/Bangkok	3590433799317661446
38.72706	-9.24671	Carnaxide	PT	Europe/Lisbon	359043379931766270
45.49428	-122.86705	Aloha	US	America/Los_Angeles	359043379931766593
42.8139	-1.64295	Segundo Ensanche	ES	Europe/Madrid	863033069630348180
10.22677	-67.33122	La Victoria	VE	America/Caracas	863033069630348065
46.75451	33.34864	Nova Kakhovka	UA	Europe/Kyiv	863033069630348511
-3.20333	-52.20639	Altamira	BR	America/Santarem	863033069630348420
45.47885	133.42825	Lesozavodsk	RU	Asia/Vladivostok	3590433799317661545
-22.9	44.53333	Sakaraha	MG	Indian/Antananarivo	359043379931766783
52.2	8.63333	Kirchlengern	DE	Europe/Berlin	359043379931766718
50.8	3.16667	Wevelgem	BE	Europe/Brussels	3590433799317661040
-4.16694	-40.7475	Guaraciaba do Norte	BR	America/Fortaleza	8630330696303481925
51.84819	1.26738	Walton-on-the-Naze	GB	Europe/London	8630330696303482303
16.75973	-93.11308	Tuxtla	MX	America/Mexico_City	359043379931766353
56.03361	35.96944	Volokolamsk	RU	Europe/Moscow	863033069630348347
40.5576	-74.28459	Woodbridge	US	America/New_York	8630330696303481271
51.35084	-1.99421	Devizes	GB	Europe/London	359043379931766502
30.5427	-97.54667	Hutto	US	America/Chicago	8630330696303482048
31.82539	72.54064	Sillanwali	PK	Asia/Karachi	863033069630348669
-13.7804	34.4587	Salima	MW	Africa/Blantyre	863033069630348024
41.54566	-71.29144	Middletown	US	America/New_York	359043379931766767
26.91756	-82.07842	Punta Gorda Isles	US	America/New_York	3590433799317662295
33.41012	-91.06177	Greenville	US	America/Chicago	3590433799317661453
24.41288	76.56719	Aklera	IN	Asia/Kolkata	359043379931766361
53.77166	38.12408	Bogoroditsk	RU	Europe/Moscow	8630330696303482410
5.27247	-3.59625	Bonoua	CI	Africa/Abidjan	8630330696303481917
16.0438	120.4861	Manaoag	PH	Asia/Manila	863033069630348313
43.41949	77.0202	Otegen Batyra	KZ	Asia/Almaty	359043379931766320
51.65333	5.2875	Vught	NL	Europe/Amsterdam	359043379931766312
21.59983	71.21169	Amreli	IN	Asia/Kolkata	359043379931766858
22.75218	72.68533	Kheda	IN	Asia/Kolkata	8630330696303481578
42.06166	-1.60452	Tudela	ES	Europe/Madrid	863033069630348495
50.80019	7.20769	Siegburg	DE	Europe/Berlin	8630330696303482246
14.53767	46.83187	Ataq	YE	Asia/Aden	863033069630348248
37.56667	140.11667	Inawashiro	JP	Asia/Tokyo	3590433799317661800
50.64336	7.2278	Bad Honnef	DE	Europe/Berlin	359043379931766940
46.32374	-120.00865	Sunnyside	US	America/Los_Angeles	8630330696303481743
34.14251	-118.25508	Glendale	US	America/Los_Angeles	8630330696303481727
52.14	5.58472	Barneveld	NL	Europe/Amsterdam	3590433799317661297
26.32293	91.00632	Barpeta	IN	Asia/Kolkata	3590433799317661479
39.09112	-94.41551	Independence	US	America/Chicago	8630330696303482303
53.5942	25.8191	Novogrudok	BY	Europe/Minsk	863033069630348537
37.74615	-25.66689	Ponta Delgada	PT	Atlantic/Azores	8630330696303482386
55.82737	-4.0573	Viewpark	GB	Europe/London	359043379931766098
51.47805	6.8625	Oberhausen	DE	Europe/Berlin	359043379931766692
52.47774	10.5511	Gifhorn	DE	Europe/Berlin	8630330696303481362
68.79833	16.54165	Harstad	NO	Europe/Oslo	359043379931766692
-31.4488	-60.93173	Esperanza	AR	America/Argentina/Cordoba	863033069630348156
51.04962	12.1369	Zeitz	DE	Europe/Berlin	3590433799317661883
2.2139	102.3278	Kampung Ayer Molek	MY	Asia/Kuala_Lumpur	359043379931766890
55.63711	37.38115	Solntsevo	RU	Europe/Moscow	8630330696303481479
41.94175	123.50266	Hushitai	CN	Asia/Shanghai	359043379931766437
6.25947	102.05461	Tak Bai	TH	Asia/Bangkok	359043379931766056
12.12278	-61.62498	Grenville	GD	America/Grenada	863033069630348214
48.98994	2.1699	Herblay	FR	Europe/Paris	359043379931766924
-0.71667	-48.52333	Soure	BR	America/Belem	3590433799317661271
48.21644	9.02596	Albstadt	DE	Europe/Berlin	863033069630348362
12.37169	123.62494	Masbate	PH	Asia/Manila	8630330696303481917
6.15038	6.83042	Nkpor	NG	Africa/Lagos	863033069630348099
45.16024	-93.08883	Lino Lakes	US	America/Chicago	8630330696303481602
54.60528	18.34717	Reda	PL	Europe/Warsaw	863033069630348545
-6.48167	106.85417	Cibinong	ID	Asia/Jakarta	8630330696303482469
50.76306	-1.29772	Cowes	GB	Europe/London	3590433799317661347
40.58654	-122.39168	Redding	US	America/Los_Angeles	3590433799317661735
15.73628	75.96976	Gajendragarh	IN	Asia/Kolkata	8630330696303482063
40.64621	-73.97069	Kensington	US	America/New_York	863033069630348818
55.82885	-4.21376	Rutherglen	GB	Europe/London	863033069630348487
56.11281	69.49015	Ishim	RU	Asia/Yekaterinburg	359043379931766197
3.7278	98.6738	Labuhan Deli	ID	Asia/Jakarta	8630330696303481685
43.48961	-8.2194	Ferrol	ES	Europe/Madrid	3590433799317662477
28.54944	-81.77285	Clermont	US	America/New_York	863033069630348487
38.38479	-0.76773	Novelda	ES	Europe/Madrid	863033069630348404
46.32313	-0.45877	Niort	FR	Europe/Paris	8630330696303482089
52.66277	-2.01111	Great Wyrley	GB	Europe/London	8630330696303482329
31.78336	35.23388	East Jerusalem	PS	Asia/Hebron	863033069630348479
43.50891	16.43915	Split	HR	Europe/Zagreb	8630330696303481669
40.24537	-75.64963	Pottstown	US	America/New_York	863033069630348453
40.53123	17.58522	Francavilla Fontana	IT	Europe/Rome	3590433799317661297
36.61954	4.08282	Beni Douala	DZ	Africa/Algiers	863033069630348800
28.88162	120.03308	Guli	CN	Asia/Shanghai	863033069630348701
-0.35817	42.54536	Kismayo	SO	Africa/Mogadishu	8630330696303482337
51.04962	12.1369	Zeitz	DE	Europe/Berlin	8630330696303481073
45.44868	-73.81669	Pointe-Claire	CA	America/Toronto	8630330696303481370
38.54491	-121.74052	Davis	US	America/Los_Angeles	8630330696303482394
44.27804	-88.27205	Kaukauna	US	America/Chicago	359043379931766452
42.8334	-80.38297	Norfolk County	CA	America/Toronto	359043379931766882
5.90702	116.10146	Donggongon	MY	Asia/Kuching	8630330696303481446
33.14447	47.3799	Darreh Shahr	IR	Asia/Tehran	3590433799317661206
7.6	4.18333	Olupona	NG	Africa/Lagos	8630330696303482022
-34.88422	150.60036	Nowra	AU	Australia/Sydney	8630330696303481842
58.1908	40.17171	Danilov	RU	Europe/Moscow	359043379931766262
49.68369	8.61839	Bensheim	DE	Europe/Berlin	359043379931766189
49.68369	8.61839	Bensheim	DE	Europe/Berlin	8630330696303481107
40.34912	-111.90466	Saratoga Springs	US	America/Denver	8630330696303482444
34.09668	-117.71978	Claremont	US	America/Los_Angeles	863033069630348099
22.10194	85.37752	Barbil	IN	Asia/Kolkata	3590433799317662212
36.76639	3.47717	Boumerdas	DZ	Africa/Algiers	359043379931766502
-4.26613	15.28318	Brazzaville	CG	Africa/Brazzaville	3590433799317661701
51.78967	1.15597	Clacton-on-Sea	GB	Europe/London	863033069630348867
39.46667	141.95	Yamada	JP	Asia/Tokyo	3590433799317661313
-14.66463	-52.35558	Nova Xavantina	BR	America/Cuiaba	359043379931766536
4.88441	101.96857	Gua Musang	MY	Asia/Kuala_Lumpur	3590433799317661677
47.98372	10.18527	Memmingen	DE	Europe/Berlin	3590433799317662360
41.6764	-91.58045	Coralville	US	America/Chicago	863033069630348172
42.819	47.1192	Buynaksk	RU	Europe/Moscow	3590433799317661792
50.50301	13.63617	Most	CZ	Europe/Prague	8630330696303481586
65.84811	24.14662	Tornio	FI	Europe/Helsinki	359043379931766536
7.50251	5.06258	Igbara-Odo	NG	Africa/Lagos	863033069630348867
36.65	138.31667	Suzaka	JP	Asia/Tokyo	863033069630348214
53.49389	-1.29243	Mexborough	GB	Europe/London	359043379931766767
-7.54972	110.71639	Ngemplak	ID	Asia/Jakarta	8630330696303481750
14.64056	104.64992	Kantharalak	TH	Asia/Bangkok	8630330696303482113
33.3213	130.94098	Hita	JP	Asia/Tokyo	863033069630348891
17.34769	78.55757	Lal Bahadur Nagar	IN	Asia/Kolkata	3590433799317661263
3.11988	35.59642	Lodwar	KE	Africa/Nairobi	863033069630348875
43.16547	-77.70066	Gates-North Gates	US	America/New_York	8630330696303481339
52.86147	9.5926	Walsrode	DE	Europe/Berlin	359043379931766478
9.6531	124.3697	Jagna	PH	Asia/Manila	8630330696303481990
37.13548	-3.67029	Las Gabias	ES	Europe/Madrid	863033069630348636
36.21544	65.93249	Sar-e Pul	AF	Asia/Kabul	359043379931766221
41.09822	120.74792	Nanpiao	CN	Asia/Shanghai	3590433799317661990
57.14369	-2.09814	Aberdeen	GB	Europe/London	8630330696303481545
3.7278	98.6738	Labuhan Deli	ID	Asia/Jakarta	863033069630348669
48.90982	2.45012	Bobigny	FR	Europe/Paris	8630330696303481057
22.19303	88.18466	Diamond Harbour	IN	Asia/Kolkata	8630330696303481396
35.6803	51.0193	Shahre Jadide Andisheh	IR	Asia/Tehran	863033069630348909
41.48199	-81.79819	Lakewood	US	America/New_York	3590433799317662477
7.62789	4.74161	Ilesa	NG	Africa/Lagos	359043379931766429
-5.85746	144.23058	Mount Hagen	PG	Pacific/Port_Moresby	8630330696303481131
43.78956	7.60872	Ventimiglia	IT	Europe/Rome	3590433799317661529
42.24113	-88.3162	Crystal Lake	US	America/Chicago	3590433799317661321
61.78491	34.34691	Petrozavodsk	RU	Europe/Moscow	863033069630348016
35.95664	36.7138	Binnish	SY	Asia/Damascus	8630330696303482006
43.67681	4.63031	Arles	FR	Europe/Paris	8630330696303481693
30.81383	75.16878	Moga	IN	Asia/Kolkata	863033069630348115
37.49223	15.07041	Catania	IT	Europe/Rome	863033069630348255
30.46907	70.96699	Kot Addu	PK	Asia/Karachi	359043379931766452
-17.74431	-48.62789	Caldas Novas	BR	America/Sao_Paulo	8630330696303481354
47.30997	8.52462	Adliswil	CH	Europe/Zurich	863033069630348271
48	-4.1	Quimper	FR	Europe/Paris	8630330696303481818
35.50056	117.63083	Pingyi	CN	Asia/Shanghai	8630330696303481024
52.61131	13.31783	Hermsdorf	DE	Europe/Berlin	8630330696303481933
65.84811	24.14662	Tornio	FI	Europe/Helsinki	3590433799317661081
40.66482	122.22833	Yingkou	CN	Asia/Shanghai	8630330696303481628
40.1675	34.37389	Sungurlu	TR	Europe/Istanbul	3590433799317662204
51.40944	46.04833	Privolzhskiy	RU	Europe/Saratov	359043379931766122
18.87813	72.93924	Uran	IN	Asia/Kolkata	863033069630348545
-19.7625	-44.31389	Esmeraldas	BR	America/Sao_Paulo	8630330696303481693
-1.6	103.61667	Jambi City	ID	Asia/Jakarta	359043379931766114
39.46667	141.95	Yamada	JP	Asia/Tokyo	8630330696303481982
12.35275	121.06761	San Jose	PH	Asia/Manila	863033069630348040
-37.88333	145.06667	Carnegie	AU	Australia/Melbourne	8630330696303482493
48.78232	9.17702	Stuttgart	DE	Europe/Berlin	359043379931766809
12.18441	18.69303	Mongo	TD	Africa/Ndjamena	359043379931766577
-26.93366	29.24152	Standerton	ZA	Africa/Johannesburg	3590433799317661065
-13.7804	34.4587	Salima	MW	Africa/Blantyre	8630330696303482089
50.64336	7.2278	Bad Honnef	DE	Europe/Berlin	863033069630348743
47.83333	59.6	Shalqar	KZ	Asia/Aqtobe	3590433799317661776
-5.85746	144.23058	Mount Hagen	PG	Pacific/Port_Moresby	3590433799317661974
24.28859	116.11768	Meizhou	CN	Asia/Shanghai	8630330696303481933
41.54566	-71.29144	Middletown	US	America/New_York	359043379931766445
9.3337	122.8637	Santa Catalina	PH	Asia/Manila	8630330696303482493
-2.90055	-79.00453	Cuenca	EC	America/Guayaquil	863033069630348925
40.34912	-111.90466	Saratoga Springs	US	America/Denver	863033069630348222
26.11527	86.59509	Supaul	IN	Asia/Kolkata	3590433799317661289
23.02677	113.13148	Foshan	CN	Asia/Shanghai	863033069630348776
58.1908	40.17171	Danilov	RU	Europe/Moscow	8630330696303481859
-34.64966	-58.38341	Barracas	AR	America/Argentina/Buenos_Aires	3590433799317661966
51.47805	6.8625	Oberhausen	DE	Europe/Berlin	3590433799317662162
12.37169	123.62494	Masbate	PH	Asia/Manila	863033069630348354
54.60528	18.34717	Reda	PL	Europe/Warsaw	3590433799317661602
18.51957	73.85535	Pune	IN	Asia/Kolkata	8630330696303482071
10.66668	-61.51889	Port of Spain	TT	America/Port_of_Spain	3590433799317662360
-0.71667	-48.52333	Soure	BR	America/Belem	3590433799317661669
4.94273	15.87735	Carnot	CF	Africa/Bangui	8630330696303482162
-7.57897	112.23109	Diwek	ID	Asia/Jakarta	3590433799317662352
6.46346	-2.31938	Bibiani	GH	Africa/Accra	3590433799317661966
43.82634	144.09638	Motomachi	JP	Asia/Tokyo	8630330696303481487
51.35084	-1.99421	Devizes	GB	Europe/London	359043379931766593
53.95278	32.86389	Roslavl‚Äô	RU	Europe/Moscow	3590433799317661602
40.68066	-73.47429	Massapequa	US	America/New_York	359043379931766247
23.73333	114.68333	Heyuan	CN	Asia/Shanghai	359043379931766320
43.61058	1.33467	Colomiers	FR	Europe/Paris	359043379931766080
37.49223	15.07041	Catania	IT	Europe/Rome	3590433799317662394
54.52156	9.5586	Schleswig	DE	Europe/Berlin	359043379931766130
57.30185	39.85331	Gavrilov-Yam	RU	Europe/Moscow	3590433799317662014
42.22718	14.39024	Lanciano	IT	Europe/Rome	8630330696303482345
34.75856	136.13108	Ueno-ebisumachi	JP	Asia/Tokyo	3590433799317661651
37.31065	13.57661	Agrigento	IT	Europe/Rome	359043379931766353
46.7055	38.2739	Yeysk	RU	Europe/Moscow	3590433799317662295
15.45144	78.14797	Betamcherla	IN	Asia/Kolkata	8630330696303481008
-22.92306	-53.13722	Loanda	BR	America/Sao_Paulo	863033069630348321
51.39148	-0.29825	Surbiton	GB	Europe/London	8630330696303481495
30.75545	20.22625	Ajdabiya	LY	Africa/Tripoli	3590433799317661404
34.56861	105.89333	Beidao	CN	Asia/Shanghai	863033069630348131
42.8334	-80.38297	Norfolk County	CA	America/Toronto	359043379931766734
50.75	2.25	Saint-Omer	FR	Europe/Paris	863033069630348917
55.67938	12.53463	Frederiksberg	DK	Europe/Copenhagen	3590433799317661776
47.92526	-97.03285	Grand Forks	US	America/Chicago	8630330696303481487
52.31333	6.92917	Oldenzaal	NL	Europe/Amsterdam	8630330696303481339
22.49396	-105.36369	Acaponeta	MX	America/Mazatlan	863033069630348255
23.02677	113.13148	Foshan	CN	Asia/Shanghai	8630330696303481719
25.95533	68.88871	Jhol	PK	Asia/Karachi	863033069630348511
51.62907	-0.74934	High Wycombe	GB	Europe/London	863033069630348248
40.34912	-111.90466	Saratoga Springs	US	America/Denver	359043379931766106
43.83125	5.03586	Cavaillon	FR	Europe/Paris	3590433799317661024
51.65333	5.2875	Vught	NL	Europe/Amsterdam	8630330696303482386
14.67751	-60.94228	Le Robert	MQ	America/Martinique	359043379931766189
54.52156	9.5586	Schleswig	DE	Europe/Berlin	359043379931766239
3.51667	11.5	Mbalmayo	CM	Africa/Douala	359043379931766304
27.85	112.9	Xiangtan	CN	Asia/Shanghai	8630330696303481073
14.0823	98.19151	Dawei	MM	Asia/Yangon	8630330696303482105
40.70995	0.57856	Amposta	ES	Europe/Madrid	3590433799317661727
40.56754	-89.64066	Pekin	US	America/Chicago	3590433799317661685
60.18427	24.95034	Kallio	FI	Europe/Helsinki	8630330696303482063
-17.73648	168.31366	Port-Vila	VU	Pacific/Efate	3590433799317661339
57.14369	-2.09814	Aberdeen	GB	Europe/London	8630330696303482022
43.50891	16.43915	Split	HR	Europe/Zagreb	3590433799317661081
44.59445	11.04979	Castelfranco Emilia	IT	Europe/Rome	863033069630348529
35.72917	10.58082	Msaken	TN	Africa/Tunis	8630330696303481453
33.45122	-86.99666	Hueytown	US	America/Chicago	8630330696303481784
-21.44236	27.46153	Tonota	BW	Africa/Gaborone	3590433799317661008
11.84962	-86.19903	Jinotepe	NI	America/Managua	3590433799317662006
-2.13404	-79.59415	Milagro	EC	America/Guayaquil	3590433799317662246
39.45621	-77.96389	Martinsburg	US	America/New_York	3590433799317661610
47.76232	-122.2054	Bothell	US	America/Los_Angeles	359043379931766510
30.17746	-81.38758	Palm Valley	US	America/New_York	3590433799317661735
33.54428	-84.23381	Stockbridge	US	America/New_York	8630330696303481891
-10.33333	39.28333	Nyangao	TZ	Africa/Dar_es_Salaam	8630330696303481982
38.38479	-0.76773	Novelda	ES	Europe/Madrid	863033069630348636
29.84576	-90.10674	Estelle	US	America/Chicago	359043379931766502
37.1759	128.9889	T‚Äôaebaek	KR	Asia/Seoul	8630330696303481354
48.98994	2.1699	Herblay	FR	Europe/Paris	359043379931766973
53.5942	25.8191	Novogrudok	BY	Europe/Minsk	359043379931766544
39.43534	-84.20299	Lebanon	US	America/New_York	863033069630348917
36.27462	4.85668	Bordj Zemoura	DZ	Africa/Algiers	8630330696303481875
31.84568	-102.36764	Odessa	US	America/Chicago	3590433799317661594
54.48147	53.47103	Oktyabr‚Äôskiy	RU	Asia/Yekaterinburg	359043379931766197
29.21399	78.95693	Kashipur	IN	Asia/Kolkata	3590433799317661347
50.9803	11.32903	Weimar	DE	Europe/Berlin	8630330696303481719
52.09	5.23333	Zeist	NL	Europe/Amsterdam	3590433799317661792
22.10194	85.37752	Barbil	IN	Asia/Kolkata	359043379931766361
41.80753	-87.65644	New City	US	America/Chicago	3590433799317661586
53.59337	9.47629	Stade	DE	Europe/Berlin	863033069630348461
36.76639	3.47717	Boumerdas	DZ	Africa/Algiers	8630330696303481669
-6.25	38.66667	Mvomero	TZ	Africa/Dar_es_Salaam	863033069630348735
33.4425	129.96972	Karatsu	JP	Asia/Tokyo	3590433799317662394
40.64621	-73.97069	Kensington	US	America/New_York	8630330696303481792
19.32889	-99.32556	San Lorenzo Acopilco	MX	America/Mexico_City	863033069630348388
41.54566	-71.29144	Middletown	US	America/New_York	3590433799317662402
38.40917	112.73333	Xinzhou	CN	Asia/Shanghai	8630330696303481206
5.4709	100.24529	Batu Feringgi	MY	Asia/Kuala_Lumpur	863033069630348446
50.598427	13.610242	Litvínov	CZ	Europe/Prague	359043379931766437
-7.0981	109.3243	Randudongkal	ID	Asia/Jakarta	863033069630348776
50.76306	-1.29772	Cowes	GB	Europe/London	3590433799317661719
45.53929	-122.38731	Troutdale	US	America/Los_Angeles	8630330696303481479
32.50611	120.14278	Jiangyan	CN	Asia/Shanghai	3590433799317661438
52.41667	0.75	Thetford	GB	Europe/London	3590433799317661685
-7.51611	109.05389	Wangon	ID	Asia/Jakarta	8630330696303481453
40.94065	-73.99681	Dumont	US	America/New_York	3590433799317661156
36.65	138.31667	Suzaka	JP	Asia/Tokyo	3590433799317661248
25.6439	77.9129	Narwar	IN	Asia/Kolkata	359043379931766783
47.64995	-117.23991	Opportunity	US	America/Los_Angeles	863033069630348461
40.66482	122.22833	Yingkou	CN	Asia/Shanghai	3590433799317661065
-33.38056	-56.52361	Durazno	UY	America/Montevideo	3590433799317662295
49.952431	15.268654	Kutná Hora	CZ	Europe/Prague	3590433799317661909
11.00599	77.5609	Kangayam	IN	Asia/Kolkata	863033069630348503
33.95015	-118.03917	South Whittier	US	America/Los_Angeles	8630330696303482386
48.812737	14.317466	Český Krumlov	CZ	Europe/Prague	3590433799317661834
36.92574	14.72443	Ragusa	IT	Europe/Rome	863033069630348156
47.48444	36.25361	Polohy	UA	Europe/Zaporozhye	359043379931766247
45.99194	29.41824	Artsyz	UA	Europe/Kyiv	359043379931766353
48.07667	8.64409	Trossingen	DE	Europe/Berlin	8630330696303482287
54.52156	9.5586	Schleswig	DE	Europe/Berlin	863033069630348248
27.09978	-82.45426	Venice	US	America/New_York	359043379931766254
51.04962	12.1369	Zeitz	DE	Europe/Berlin	863033069630348800
-21.44236	27.46153	Tonota	BW	Africa/Gaborone	359043379931766650
37.05944	37.3825	Gaziantep	TR	Europe/Istanbul	359043379931766056
50.64336	7.2278	Bad Honnef	DE	Europe/Berlin	359043379931766841
47.48444	36.25361	Polohy	UA	Europe/Zaporozhye	3590433799317662329
61.72744	17.10558	Hudiksvall	SE	Europe/Stockholm	3590433799317661768
-23.7975	-48.59278	Buri	BR	America/Sao_Paulo	359043379931766213
-36.9256	-73.02841	Chiguayante	CL	America/Santiago	8630330696303481503
35.815	139.6853	Shimotoda	JP	Asia/Tokyo	8630330696303482113
-34.64966	-58.38341	Barracas	AR	America/Argentina/Buenos_Aires	3590433799317662444
33.03699	-117.29198	Encinitas	US	America/Los_Angeles	8630330696303481735
60.02427	30.28491	Kolomyagi	RU	Europe/Moscow	359043379931766288
17.54907	82.85749	Elamanchili	IN	Asia/Kolkata	3590433799317661461
47.56494	31.33078	Voznesensk	UA	Europe/Kyiv	8630330696303482063
51.955	5.22778	Culemborg	NL	Europe/Amsterdam	863033069630348198
1.6561	103.6032	Kulai	MY	Asia/Kuala_Lumpur	3590433799317662220
-16.25	-69.08333	Yunguyo	PE	America/Lima	359043379931766692
-37.88333	145.06667	Carnegie	AU	Australia/Melbourne	3590433799317661099
7.50251	5.06258	Igbara-Odo	NG	Africa/Lagos	359043379931766072
42.67164	14.01481	Roseto degli Abruzzi	IT	Europe/Rome	863033069630348917
52.4089	31.3237	Dobrush	BY	Europe/Minsk	863033069630348222
17.30858	97.01124	Kyaikto	MM	Asia/Yangon	359043379931766551
40.92298	14.30935	Afragola	IT	Europe/Rome	8630330696303482147
43.2907	5.4384	Marseille 11	FR	Europe/Paris	3590433799317661503
-26.93366	29.24152	Standerton	ZA	Africa/Johannesburg	359043379931766874
-26.93366	29.24152	Standerton	ZA	Africa/Johannesburg	8630330696303481487
48.78232	9.17702	Stuttgart	DE	Europe/Berlin	863033069630348016
-31.25033	-61.4867	Rafaela	AR	America/Argentina/Cordoba	3590433799317662014
51.03427	5.37429	Houthalen	BE	Europe/Brussels	8630330696303481453
37.35813	-6.03731	San Juan de Aznalfarache	ES	Europe/Madrid	3590433799317661073
